pkgName,className,mdName,mmCOMP,mmNOCL,mmNOS,mmHLTH,mmHVOC,mmHEFF,mmHBUG,mmCREF,mmXMET,mmLMET,mmNLOC,mmNOC,mmNOA,mmMOD,mmHDIF,mmVDEC,mmEXCT,mmEXCR,mmCAST,mmTDN,mmHVOL,mmNAND,mmVREF,mmNOPR,mmMDN,mmNEXP,mmLOOP,ccNoMethods,ccLCOM,ccAVCC,ccNOS,ccHBUG,ccHEFF,ccUWCS,ccINST,ccPACK,ccRFC,ccCBO,ccMI,ccCCML,ccNLOC,ccRVF,ccF-IN,ccDIT,ccMINC,ccS-R,ccR-R,ccCOH,ccLMC,ccLCOM2,ccMAXCC,ccHVOL,ccHIER,ccNQU,ccFOUT,ccSuperclass,ccSIX,ccEXT,ccNSUP,ccTCC,ccNSUB,ccMPC,ccNCO,ccINTR,ccCCOM,ccHLTH,ccMOD,ppNoClasses,ppNOS,ppAVCC,ppHBUG,ppHEFF,ppHLTH,ppHVOL,ppMI,ppCCML,ppNLOC,ppRVF,ppTCC,ppCCOM,ppINST,ppDIST,ppFIN,ppNoMethods,ppMINC,ppABST,ppMAXCC,ppFOUT
net.objecthunter.exp4j,ExpressionBuilder,ExpressionBuilder,2,4,7,72,31,3993.08,0.12,4,5,0,9,1,1,1,11.19,0,0,0,0,1,356.70,31,7,41,1,13,0,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ExpressionBuilder,build,4,6,14,107,43,7620.51,0.19,5,8,0,16,3,0,1,13.12,0,0,0,0,3,580.61,49,16,58,2,17,1,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ExpressionBuilder,checkOperatorSymbol,3,0,8,44,27,1845.58,0.07,3,4,0,8,0,1,1,8.82,1,0,0,0,2,209.22,19,4,25,2,8,1,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ExpressionBuilder,function,1,5,3,22,13,383.79,0.03,2,2,0,4,1,1,1,4.71,0,0,0,0,0,81.41,11,3,11,0,2,0,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ExpressionBuilder,functions,2,5,7,32,19,1132.78,0.05,3,2,0,6,1,1,1,8.33,0,0,0,0,1,135.93,15,4,17,1,2,1,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ExpressionBuilder,functions,2,5,7,30,17,965.66,0.04,2,2,0,6,1,1,1,7.88,0,0,0,0,1,122.62,14,4,16,1,2,1,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ExpressionBuilder,implicitMultiplication,1,0,3,16,12,321.21,0.02,1,0,0,4,0,1,1,5.60,0,0,0,0,0,57.36,8,2,8,0,1,0,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ExpressionBuilder,operator,2,5,7,26,17,910.92,0.04,3,0,1,6,1,1,1,8.57,0,0,0,0,1,106.27,12,2,14,1,1,1,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ExpressionBuilder,operator,1,5,4,28,14,559.68,0.04,2,2,1,5,1,1,1,5.25,0,0,0,0,0,106.61,14,4,14,0,3,0,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
net.objecthunter.exp4j,ExpressionBuilder,operator,2,5,7,24,15,773.56,0.03,2,0,1,6,1,1,1,8.25,0,0,0,0,1,93.77,11,2,13,1,1,1,13,0.02,1.77,82,0.73,20022.23,18,5,5,13,6,116.98,59,89,11.00,1,1,116.74,0.00,0.00,0.22,2,41.00,4,2200.40,0,11,5,java.lang.Object,0.00,0,0,23,0,0,2,0,14,490,1,5,288,2.17,2.99,149743.43,1776,8968.80,108.87,159,332,11,78,30,0.83,0.17,1,36,108.64,0.00,13,5
