System,Package,Name, No. Methods, LCOM, AVCC, NOS, HBUG, HEFF, UWCS, INST, PACK, RFC, CBO, MI, CCML, NLOC, RVF, F-IN, DIT, MINC, S-R, R-R, COH, LMC, LCOM2, MAXCC, HVOL, HIER, NQU, FOUT, Superclass, SIX, EXT, NSUP, TCC, NSUB, MPC, NCO, INTR, CCOM, HLTH, MOD
"","org.joda.time","TestYearMonth_Basics",52,0.03,1.48,405,5.31,169570.72,64,12,14,55,24,111.72,33,491,20.00,1,2,111.72,0.00,0.50,0.05,2,548.00,4,15944.08,5,1,23,junit.framework.TestCase,0.00,3,1,77,0,3,51,0,27,3368,1
"","org.joda.time","TestYearMonth_Basics$MockYM",3,0.00,1.00,7,0.05,694.34,3,0,14,3,3,141.15,0,14,2.00,0,2,141.15,0.00,0.50,0.00,0,1.00,1,154.44,0,3,3,org.joda.time.MockPartial,0.40,0,1,3,0,0,0,0,0,46,0
"","org.joda.time","TestYearMonth_Constructors",34,0.03,1.41,206,2.55,54852.59,43,9,9,37,11,156.52,70,266,18.00,1,2,116.63,0.00,0.50,0.14,1,270.00,5,7638.11,2,1,10,junit.framework.TestCase,0.00,3,1,48,0,3,33,0,32,1636,1
"","org.joda.time","TestYearMonth_Properties",24,0.08,1.33,238,3.85,163020.32,31,7,6,26,12,105.16,10,278,29.00,1,2,105.16,0.00,0.50,0.07,2,144.00,3,11564.97,3,1,11,junit.framework.TestCase,0.00,2,1,32,0,2,23,0,6,2411,1
"","org.joda.time","TestYears",26,0.96,1.35,180,2.60,74373.19,27,1,6,27,10,114.69,25,226,23.00,1,2,114.69,0.00,0.50,0.08,1,70.00,3,7811.73,3,1,9,junit.framework.TestCase,0.00,1,1,35,0,1,25,0,19,1687,1
"","org.joda.time.tz","TestZoneInfoCompiler",9,0.00,1.11,36,0.45,9731.19,9,0,8,9,4,124.63,6,48,11.00,0,2,124.63,0.00,0.50,0.00,0,9.00,2,1361.40,3,0,4,junit.framework.TestCase,0.00,0,1,10,0,0,9,0,1,302,1
"","org.joda.time.chrono","ThreadContention",8,0.00,2.75,91,1.53,66815.08,8,0,8,8,3,101.04,5,82,29.00,0,1,101.04,0.00,0.00,0.00,7,8.00,5,4583.69,0,2,3,java.lang.Object,0.00,0,0,22,0,0,6,0,3,818,1
"","org.joda.time.chrono","ThreadContention$Runnable",1,0.00,4.00,20,0.21,6889.93,1,0,8,1,1,91.92,0,20,15.00,0,1,91.92,0.00,0.00,0.00,0,1.00,4,632.75,0,0,1,java.lang.Object,0.00,0,0,4,0,0,1,0,0,111,1
"","org.joda.time.chrono","ThreadContention$Runnable_0",1,0.00,4.00,20,0.21,6311.75,1,0,8,1,1,92.22,0,20,13.00,0,1,92.22,0.00,0.00,0.00,0,1.00,4,618.29,0,0,1,java.lang.Object,0.00,0,0,4,0,0,1,0,0,109,1
"","org.joda.time","TimeOfDay",54,0.09,1.17,170,1.80,41352.26,61,7,9,60,48,92.89,668,253,16.00,34,3,130.46,0.00,0.67,0.05,9,770.00,4,5408.40,6,39,15,org.joda.time.base.BasePartial,0.07,6,2,63,0,6,15,1,74,1308,3
"","org.joda.time","TimeOfDay$Property",13,0.14,1.00,42,0.38,7095.87,16,3,9,13,4,87.52,148,56,9.00,0,2,131.65,0.00,0.50,0.46,2,0.00,1,1137.41,2,12,4,org.joda.time.field.AbstractPartialFieldProperty,0.16,0,1,13,0,0,1,1,19,288,3
"","org.joda.example.time","TimeZoneTable",2,2.00,5.00,51,0.68,37015.83,4,2,9,4,3,124.76,5,64,56.00,0,1,84.88,0.00,0.00,0.00,1,2.00,6,2038.90,0,0,3,java.lang.Object,0.00,2,0,10,0,2,2,0,1,365,1
